"product_id","last_category","actual_price","rating","rating_count"
"B07DKZCZ89","Cases","499.00","4.0","15032"
"B0746JGVDS","Cradles","999.00","3.0","46399"
"B08MTCKDYN","Décor","299.00","4.0","5999"
"B00O2R38C4","ExhaustFans","1490.00","4.0","12999"
"B01J1CFO5I","Gamepads","550.00","4.0","33434"
"B08498D67S","GamingKeyboards","1800.00","4.0","4723"
"B075K76YW1","HandMixers","1395.00","4.0","15252"
"B00NNQMYNE","HardDiskBags","499.00","4.0","21010"
"B079S811J3","Headsets","2999.00","4.0","14237"
"B01M69WCZ6","Humidifiers","3550.00","4.0","3973"
"B07G3YNLJB","InternalSolidStateDrives","3100.00","4.0","92925"
"B01F7B2JCI","MeasuringSpoons","450.00","4.0","4971"
"B0763K5HLQ","MilkFrothers","1499.00","4.0","4401"
"B07XCM6T4N","NotebookComputerStands","1499.00","4.0","24791"
"B005LJQMCK","OpticalCables","599.00","4.0","30023"
"B00LY1FN1K","Paints","230.00","4.0","10170"
"B0073QGKAS","Pop-upToasters","1499.00","4.0","9331"
"B09VKWGZD7","PressureWashers,Steam&WindowCleaners","8990.00","4.0","1017"
"B08D9NDZ1Y","Printers","4332.00","3.0","21762"
"B088Z1YWBC","Projectors","15990.00","3.0","10480"
"B003B00484","RechargeableBatteries","499.00","4.0","27201"
"B00A0VCJPI","Repeaters&Extenders","2499.00","4.0","156638"
"B07YZG8PPY","SatelliteReceivers","2299.00","4.0","7636"
"B07QCWY5XV","SelfieSticks","1399.00","4.0","14560"
"B07SBGFDX9","StickBallpointPens","120.00","4.0","4308"
"B015GX9Y0W","WaffleMakers&Irons","2400.00","3.0","1202"
"B00H3H03Q4","WaterCartridges","1130.00","4.0","13250"
"B06XSK3XL6","AutomobileChargers","999.00","4.0","38221"
"B09SJ1FTYV","BasicCases","1899.00","4.0","4740"
"B00V9NHDI4","CanisterVacuums","3799.00","3.0","32931"
"B00LVMTA2A","GeneralPurposeBatteries&BatteryChargers","250.00","4.0","26556"
"B01L6MT7E0","HEPAAirPurifiers","11995.00","4.0","4157"
"B07L5L4GTB","InkjetInkCartridges","404.00","4.0","8614"
"B07W6VWZ8C","OutdoorSpeakers","1999.00","4.0","30469"
"B086X18Q71","Sewing&EmbroideryMachines","12150.00","4.0","13251"
"B00P93X0VO","WireboundNotebooks","120.00","4.0","8938"
"B0B53DS4TF","AirFryers","20049.00","4.0","3964"
"B07XLML2YS","DomeCameras","3299.00","4.0","93112"
"B00PVT30YI","DripCoffeeMachines","499.00","4.0","4238"
"B077T3BG5L","Keyboards","399.00","3.0","33735"
"B00URH5E34","Lamps","39.00","3.0","13572"
"B01IOZUHRS","LaptopChargers&PowerSupplies","499.00","4.0","10174"
"B00935MD1C","Rice&PastaCookers","3945.00","3.0","13406"
"B09KGV7WSV","StylusPens","5999.00","4.0","17129"
"B097JQ1J5G","USBHubs","499.00","3.0","9385"
"B07YNTJ8ZM","BluetoothSpeakers","999.00","3.0","64705"
"B07VTFN6HM","ExternalHardDisks","7350.00","4.0","73005"
"B0819HZPXL","GamingMice","549.00","4.0","18139"
"B00C3GBCIS","LaptopSleeves&Slipcases","499.00","4.0","22860"
"B07MDRGHWQ","StandardTelevisions","11000.00","4.0","4003"
"B07966M8XH","TVWall&CeilingMounts","2999.00","4.0","2727"
"B00JBNZPFM","Wet-DryVacuums","10999.00","4.0","10429"
"B00LHZW3XY","CompositionNotebooks","180.00","4.0","8053"
"B00E3DVQFS","DisposableBatteries","1109.00","4.0","31599"
"B07PR1CL3S","On-Ear","3990.00","4.0","107151"
"B08F47T4X5","VacuumSealers","89.00","4.0","19621"
"B07SRM58TP","HandheldVacuums","2099.00","4.0","14368"
"B01M5B0TPW","MiniFoodProcessors&Choppers","2490.00","4.0","7946"
"B07S7DCJKS","MousePads","499.00","4.0","9998"
"B09YDFDVNS","BasicMobiles","1699.00","4.0","128311"
"B00ABMASXG","ImmersionRods","720.00","4.0","36017"
"B01HGCLUH6","Routers","1699.00","4.0","122478"
"B07VQGVL68","DigitalKitchenScales","499.00","3.0","44994"
"B01GFTEV5Y","InductionCooktop","3193.00","3.0","54032"
"B09T3H12GV","Keyboard&MouseSets","2498.00","4.0","33717"
"B09X7DY7Q4","MicroSD","1800.00","4.0","205052"
"B005FYNT3G","PenDrives","650.00","4.0","253105"
"B08Y5QJXSR","CeilingFans","5190.00","4.0","28629"
"B07H3WDC4X","EggBoilers","999.00","4.0","15646"
"B078HRR1XV","GraphicTablets","4699.00","4.0","13544"
"B08HV83HL3","PowerBanks","2199.00","4.0","178912"
"B07S851WX5","SandwichMakers","1299.00","4.0","40106"
"B07GXHC691","Stands","499.00","4.0","42641"
"B00E9G8KOY","WaterPurifierAccessories","600.00","4.0","10907"
"B00W56GLOQ","JuicerMixerGrinders","5000.00","4.0","26164"
"B095RTJH1M","ScreenProtectors","2899.00","4.0","26603"
"B008QTK47Q","SteamIrons","1745.00","4.0","37974"
"B08GSQXLJ2","StorageWaterHeaters","10400.00","4.0","14391"
"B07YC8JHMB","WaterFilters&Purifiers","16000.00","3.0","18497"
"B078V8R9BS","Kettle&ToasterSets","1111.00","4.0","35693"
"B083J64CBB","LaundryBaskets","499.00","4.0","10234"
"B08HQL67D6","Lapdesks","599.00","4.0","26423"
"B002SZEOLG","WirelessUSBAdapters","1339.00","4.0","179692"
"B085CZ3SR1","WallChargers","599.00","4.0","21916"
"B07WMS7TWB","ElectricKettles","1245.00","3.0","123365"
"B00A7PLVU6","HandBlenders","899.00","4.0","18462"
"B00H47GVGY","ElectricHeaters","1695.00","3.0","13300"
"B07VX71FZP","FanHeaters","2000.00","4.0","18543"
"B014I8SSD0","HDMICables","475.00","4.0","426973"
"B01NCVJMKX","LintShavers","999.00","4.0","4859"
"B0BR4F878Q","InstantWaterHeaters","1999.00","4.0","53803"
"B008YW8M0G","DryIrons","875.00","4.0","46647"
"B01J0XWYKQ","Mice","895.00","4.0","61314"
"B09X5C9VLK","MixerGrinders","3500.00","3.0","44050"
"B09BW334ML","RemoteControls","1499.00","4.0","4145"
"B07GQD4K6L","In-Ear","999.00","4.0","363713"
"B08Y55LPBF","SmartTelevisions","44999.00","4.0","45238"
"B08HV25BBQ","SmartWatches","4999.00","4.0","92588"
"B09GFPVD9Y","Smartphones","10999.00","4.0","313836"
